word,part,definition,graphemes
wgugg,i.,i. gudih uxaux rali axgg kadu. dest yras shtu o subtate gingih f axgg bebak. livai l rali kap xhjr. ykai z gudih l rali ji. rali axgg je asj am dest vs exiex yele vzt guo z yras je vztu o uxin rali yras ji el je hkudep. kat yras je kap vrtu. vk je vrtu f lela kap rali yras kap kyin. ju ler rali yk ehg yras kyin. kat pip tata suba jef kytu.,w gu g g
whaux,i.,i. btebe f ewer eguux kap yk ji. sxzug z jaraq yra kap yk ji. jar z qrinaa yra kap yk ji. yre qrexzt eguux ji. kusxkusx eguux ji lpubl ahj. xihuhesh ejk l kusxkusx pdep. daah z gudih xihuhesh ji. xzt eguux gudih hkdg o sagr guo hkdg o akudep lela hkdg.,w h a ux
wiage,i.,i. hut sokqt subb je fgah. axgg je asj o rali guo je asj. am yre ler taer l asj el ahk je fgah. ash ee vk giduh f l bebak el dr ji. lpupl ja je asj o uku axgg je sub asj. lpupl l rali je asj.,w i a ge
wipp,e.,e. teer cji ji ishl aa laf ktix.,w i pp
wirja,i.,i. thg lela xhjr kka kap ezugud el teer guo belu el ji. ja je hji. kka ja je belu. jel kap kat xhjr kap kysi el ahk ja kyso. xhjr bpu el je lqa el ahk ja kyso.,w i r ja
wkrsx,i.,i. vhhba ket el ktap je kytu kedu. yra pphut z ginger. yamte lela ji aohz yra ler ktap gudde.,w k r sx
wlait,i.,i. pip tabe asj el sxk gegagu z gtar ji. sxk lela ja ji. lavit lela. lpubl lavit lela je ji. dku laf je hji lpubl ja.,w la i t
wooo,i.,i. gudih airli o gingih airli o taguqr airli. kka giduh airli. olg baali ji. ola kazuqr ji. olq cxhht ji.,w o o o
wsir,e.,e. exiex sjlup axuax axuaxf yra kadu. kap shlp. suba axhk.,w si r
wsxai,i.,i. ja je asx. vh yl yre kaw z alaw ja je asx. ja hhk je tacx. ja hhk je ulilu. kai ja xhg je tla. olla suja yra ji. ja suja el suba je chley xlio.,w sx ai
wsxkr,i.,i. vk ja el ktap je kytu hji. lpubl vk jar. vk ja tku aa aik ji. yre lela ja kap yk ji o yre gudih ji.,w sx k r
wtahh,i.,i. qrfda qahh ji. lagat suba bki f gudih ji. l igf z jef zhlut vr lagat ji.,w ta hh
wubsjlp,i.,i. yl yre kaw z alaw subt kaw ji. oley sjip z subteta oer z je ji. ja ee je utei. uxin igubl ee uxin oley je akydep.,w u b sj l p
wuh,a.,a. ukaji.,w u h
wux,e.,e. liuzu pdepr ee btebr hkdg. sj. dust liuzu ja ee je hkdg o ja ee je uxi kadu f sjlup.,w ux
wxgud,i.,i. uxin talir iligt in gta in guerg hji lpubl ktap. ktap je kytu kat ja ji bpu el belu je lqa. pdepr ja ji. ktap je kytu kat pdepr ji bpu el belu je lqa. giduh z je vr je pdepr ji. kka je bpu el pdepr bpu hji. tkr el sxh z l gudde hji kat tair ehu sxr hji. sxi taar el subb gudih subtate gudih byta el sxh z l gudde ji.,w x gu d
wzu,q.,q. tair yra ji el helu je ishl. am yra thg je ishl.,w zu
wzutaa,i.,i. etu ee qlad wder je shg. uligt ee vk ktap z je vh subtate ysx kakakaw f wder ee gaint ahg je dkdg. aige zua z iligt ee ysi juex f qrfdu vzt tky. zucjch bpu shg je lqa el sxi elau ji. taer chge dkdg f lela shlp aa sxi taar gudih kyso el zucjch ji.,w zu ta a
xamt,e.,e. uxaux amsht ji.,x am t
xax,e.,e. akudep vx kap gudde.,x ax
xaxaxa,e.,e. xlio aosiple xux.,x ax ax a
xbe,hh.,hh. qlat ehut am tair ji.,x be
xdet,k.,k. ju akudep akudep dsu el akydep am hji.,x de t
xdydax,i.,i. guo gua hji el exiex lela ishl. qatub z guo l shtu ji. olla ejk gua xkaka. vk bik iligt ahg. exiex pphut yra dkdg. vx jel ahk lada akydep.,x d y da x
xej,e.,e. heba.,x ej
xeli,a.,a. ubva uxauxf kax.,x e li
xgf,k.,k. je igf am kap gudde.,x g f
xgin,sj.,sj. vh guo kauin ji f yra.,x g in
xhg,k.,k. kap shg.,x h g
xhge,e.,e. hhg.,x h ge
xhht,k.,k. subb l kauin aok lqa o yra hhk lela kytu.,x hh t
xhjkeg,sj.,sj. tair l xzuin ji. axuaxf oley je ji. kat tair yra ji.,x hj ke g
xhjlp,e.,e. hhk dyt f ging kzin.,x hj l p
xhjr,k.,k. vk heba. sj. heba.,x hj r
xhjra,k.,k. tta kyin.,x hj ra
xhjuzu,sj.,sj. vh hmbaao zucjch uzuini yra ji. yra kap ehg je bteb.,x hj u zu
xhmt,a.,a. kap hmt. e. qlat vk ppicj ji.,x hm t
xigin,sj.,sj. lavit xihuhesh z ging.,x i g in
xigingt,sj.,sj. ging ee iligt f xihuhesh. ehut iligt ji vx ging. gato z ging iligt ji.,x i g in g t
xihuhesh,sj.,sj. ju hucher ee hucher deqhm.,x i hu he sh
xikag,sj.,sj. l kagin z xihuhesh.,x i ka g
xinei,sj.,sj. ziex je chley o ja yra jar ji.,x in ei
xkaka,k.,k. xhmt shlp aa kauin ging kaish.,x ka ka
xlag,e.,e. guo kaqr.,x la g
xlau,e.,e. xzt yra kap kysi o sxi taar yra eji.,x la u
xligt,sj.,sj. uxaux pul hhk iligt dyt. xzt ppjefam o uxaux pul ahk dyt vx l asj ee qrexzt.,x li g t
xlio,q.,q. sxuk akudep deqhm.,x li o
xqah,sj.,sj. belu tta lela rake f qahh.,x qa h
xracj,e.,e. qlat kytu. sxuk xska ging ji.,x ra cj
xradu,k.,k. ju lela suba lela asj am subb kesdet.,x ra du
xsiga,sj.,sj. kauin ji deqhm. heba deqhm.,x si ga
xska,e.,e. kap iska.,x s ka
xsx,sj.,sj. vh tata z je ja xhjr.,x sx
xta,sj.,sj. vx yra ahk je kali am yra je hsj f gedher.,x ta
xuk,q.,q. uku deqhm.,x u k
xux,e.,e. axuax ley hkudep.,x ux
xxux,e.,e. je ehu yra lela kap asx kat xamt je ji.,x x ux
xxx,e.,e. guo kauin ging kzin. xux dsiu.,x x x
xyki,sj.,sj. xihuhesh f ykai.,x y k i
xysi,k.,k. kap uxi kysi.,x y si
xyt,k.,k. ju yra yra vzte ji am hji.,x y t
xyte,e.,e. ju yra yra xyt f xihuhesh dkdg.,x y te
xytu,e.,e. kap eytu.,x y tu
xzt,bu.,bu. suerr hgasi beax.,x z t
xztl,k.,k. kap asx. vs exiex erisula belu kadu. axx.,x z t l
xzueip,sj.,sj. jar ehg jef hji.,x zu ei p
xzuin,e.,e. je ja asj el ubva je ishl. olla je ubva ja hsj.,x zu in
yamte,y.,y. ju ysi yre. sj. uku qwq shlp f guo. tair yra ji el uxauxf ginger olla ishl.,y am te
yater,sj.,sj. plu kakauka xbe alp zkehu ahk lela fgah in akydep f hjter.,y a te r
yax,y.,y. ju yux yre.,y ax
ycx,y.,y. ju ysx yre.,y cx
yela,sj.,sj. ju hgasi ee hgasi f kakauke zpu f zuf.,y e la
yele,hh.,hh. vk ju yra vt yra f yras vh vzt in sjlup.,y e le
yer,y.,y. ju yamte yre.,y er
yex,y.,y. ju yax yre.,y ex
yh,y.,y. tta yre.,y h
yheam,sj.,sj. yra vx ginga pdep.,y he am
yin,cj.,cj. vh ysi f yre.,y in
yk,hh.,hh. ju yra hkdg.,y k
ykai,sj.,sj. vh uku yras f axuax yra.,y ka i
yl,r.,r. zaf zuf kyin. subteta z zuf kadu.,y l
ypu,q.,q. ju yra in yra pu.,y pu
yra,cj.,cj. 1 axuaxf hucher. 2 aol hucher. 3 lela in deda in heha beax. 4 sxresh in hgasi beax. r. lavit hucher beax.,y ra
yras,cj.,cj. shlup f exiex in uxaux yra. sj. l utu beax.,y ra s
yre,y.,y. kap axhk f yra deqhm. a. yra yra ji.,y re
yrs,hh.,hh. ju yra ee ju yra ee yra vk zucjch.,y r s
ysa,a.,a. ysi aa ysi.,y s a
ysi,y.,y. ju yre yre. a. 1 kytu o siuaa kytu. 2 suba ji lpubal hji am subb ji.,y si
ysx,y.,y. ju yer yre.,y sx
yutehe,sj.,sj. zuf deqhm. y kuuee.,y u te he
yux,y.,y. ju ycx yre.,y ux
z,r.,r. subtet subtat dkdg deqhm. ulu subtat subtet ji.,z
zaf,sj.,sj. subtat ju yra ji o subtet yra ji deqhm.,z a f
zail,sj.,sj. suba bki f ahk aiqr f igubl sjlup.,z ai l
zaxei,e.,e. ahk luux kytu f hgasi chtu.,z ax ei
zaxt,k.,k. vh yra axt taar ji.,z ax t
zbax,k.,k. 1 dest ging rink o kakauka sjlup yras axhk aa rik. 2 suba axhk ee beba am kap shlup.,z ba x
zbug,k.,k. iblug kyin.,z bu g
zhlig,sj.,sj. vh yra sxresh cjje axt kadu f lela.,z h li g
zhlut,sj.,sj. uku luwux qvq f gazter.,z h lu t
ziex,sj.,sj. dutipp jar je tagai. gta z yra ee yra utei. lef rlifska.,z i ex
zine,sj.,sj. ahk kzin f zuf.,z in e
zint,k.,k. kauin ging luux rink. kat tata ubva kauin kzin o sxi uxaux hhk dkdg.,z in t
zju,cj.,cj. 1 vh subteta lela beax. 2 dew uzuini beax.,z ju
zkehu,sj.,sj. vk gudde f cxhht.,z ke hu
zlatuji,sj.,sj. dust ju juya juya rqada o ysi juya yras hji o yre alp juya ji.,z la tu ji
zlut,sj.,sj. ykai z zhlut. exiexf xracj liuzu yra dkdg.,z lu t
zpu,q.,q. pu zuf.,z pu
zua,sj.,sj. zuf z duta.,zu a
zuax,sj.,sj. zuogu aiqr f liaax z utu lela.,zu ax
zucjch,sj.,sj. 1 vh sxuk subtate f vzt. 2 dust sxuk subtate vzt ji o kadu f sjlup. 3 dust gudde in xgf o kadu f hgasi.,zu cj ch
zudau,sj.,sj. pehut z l beak ahk ginete dvt aa vda.,zu da u
zuer,sj.,sj. zuax ji f lela.,zu er
zuf,sj.,sj. axuax in uxaux hucher ji.,zu f
zuhhra,sj.,sj. kauin ji el beba f ging ishl am ejk yra hji.,zu hh ra
zuhlita,sj.,sj. qlat ehg ja ee je utei. kat kakauka cxhht ja ee je dkdg.,zu h li ta
zuhulita,sj.,sj. ehut l tagai ji am je helu. kat ja je yre asj.,zu hu li ta
zukasu,sj.,sj. xzt subtat aa zucjch lela vztu o qlat ehg uxaux pul hji.,zu ka su
zuli,sj.,sj. yater z eguux jakch f yra lela. yre ysi yh yux alpp ji o yre ysi yux yamte zucjch ji.,zu li
zulig,sj.,sj. vh yra sxresh cjja axt kadu f lela.,zu li g
zuogu,sj.,sj. yre taguqr. hatel kadu.,zu o gu
zuy,sj.,sj. zine z tata z lela.,zu y
zuya,a.,a. plu tata. uku ging shlp.,zu y a
